pollster,sponsors,start_date,end_date,sample_size,population,dem,rep,url,mode,tracking,partisan,internal
"Ipsos, online",Reuters,5/28/2016,6/1/2016,1389,LV,50,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,5/23/2016,5/27/2016,1238,LV,47,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,5/18/2016,5/22/2016,1225,LV,47,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
ABC News/Washington Post,NA,5/16/2016,5/19/2016,829,RV,45,45,https://web.archive.org/web/20170131004448/https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2016/05/22/National-Politics/Polling/release_426.xml?uuid=v4d0jh_REeaCwqfcsxMofQ,Live Phone,FALSE,NA,NA
NBC News/Wall Street Journal,NA,5/15/2016,5/19/2016,1000,RV,48,44,https://web.archive.org/web/20170131004448/http://www.wsj.com/public/resources/documents/16306NBCWSJMay2016Poll.pdf,Live Phone,FALSE,NA,NA
"Ipsos, online",Reuters,5/13/2016,5/17/2016,1278,LV,46,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
McLaughlin & Associates,National Review,5/11/2016,5/16/2016,1000,LV,46,42,https://web.archive.org/web/20170131004448/http://c5.nrostatic.com/sites/default/files/National%20-%20McLaughlin%20-%205-16-16%20Presentation%20-%20NEW%20SPECIAL.pdf,Live Phone,FALSE,REP,NA
"Ipsos, online",Reuters,5/8/2016,5/12/2016,1243,LV,47,39,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,5/3/2016,5/7/2016,1359,LV,47,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,4/28/2016,5/2/2016,1353,LV,46,39,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,4/23/2016,4/27/2016,1681,LV,46,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,4/18/2016,4/22/2016,1443,LV,48,34,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
George Washington University (Battleground),NA,4/17/2016,4/20/2016,1000,LV,46,41,https://web.archive.org/web/20170131004448/https://mediarelations.gwu.edu/sites/mediarelations.gwu.edu/files/GWBattlegroundPoll58-questionnaire.pdf,Live Phone,FALSE,NA,NA
"Ipsos, online",Reuters,4/13/2016,4/17/2016,1304,LV,46,34,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
NBC News/Wall Street Journal,NA,4/10/2016,4/14/2016,1000,RV,47,45,https://web.archive.org/web/20170131004448/http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/16229%20NBCWSJ%20April%20Poll.pdf,Live Phone,FALSE,NA,NA
"Ipsos, online",Reuters,4/8/2016,4/12/2016,1382,LV,46,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,4/3/2016,4/7/2016,1224,LV,47,34,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,3/29/2016,4/2/2016,1522,LV,43,39,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,3/24/2016,3/28/2016,1507,LV,47,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Public Policy Polling,NA,3/24/2016,3/26/2016,1083,RV,43,43,https://web.archive.org/web/20170131004448/http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_33116.pdf,IVR/Online Opt-In Panel,FALSE,DEM,NA
"Ipsos, online",Reuters,3/19/2016,3/23/2016,1281,LV,45,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,3/14/2016,3/18/2016,1381,LV,42,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,3/9/2016,3/13/2016,1439,LV,45,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,3/4/2016,3/8/2016,1578,LV,44,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,2/28/2016,3/3/2016,1386,LV,46,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,2/23/2016,2/27/2016,1623,LV,46,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,2/18/2016,2/22/2016,1515,LV,42,39,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,2/13/2016,2/17/2016,1269,LV,45,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,2/8/2016,2/12/2016,1288,LV,48,35,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,2/3/2016,2/7/2016,1308,LV,45,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Public Policy Polling,NA,2/2/2016,2/3/2016,1236,RV,47,41,https://web.archive.org/web/20170131004448/http://www.publicpolicypolling.com/pdf/2015/2016results.pdf,IVR/Online Opt-In Panel,FALSE,DEM,NA
"Ipsos, online",Reuters,1/29/2016,2/2/2016,1573,LV,44,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,1/24/2016,1/28/2016,1388,LV,45,37,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,1/19/2016,1/23/2016,1275,LV,40,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,1/14/2016,1/18/2016,1303,LV,44,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,1/9/2016,1/13/2016,1324,LV,46,36,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
"Ipsos, online",Reuters,1/4/2016,1/8/2016,1142,LV,43,38,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Public Policy Polling,NA,12/16/2015,12/17/2015,1267,RV,43,43,https://web.archive.org/web/20170131004448/http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_122115.pdf,IVR/Online Opt-In Panel,FALSE,DEM,NA
