issue,pollster,sponsor,start_date,end_date,sample_size,population,approve,disapprove,url,net,partisan,adj_net,total_weight
healthcare,Verasight,Strength In Numbers,2025-05-01,2025-05-06,1000,A,36,52,https://www.gelliottmorris.com/p/new-poll-americans-oppose-trumps,-16,NA,-15.94286641447735,1.2620976185057093e-15
immigration,Morning Consult,NA,2025-05-09,2025-05-11,2221,RV,51,44,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,7,NA,-7.8743726880047475,5.376485804807895e-15
economy,Morning Consult,NA,2025-05-09,2025-05-11,2221,RV,46,48,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,-2,NA,-16.874372688004748,5.376485804807895e-15
trade_tariffs,Morning Consult,NA,2025-05-09,2025-05-11,2221,RV,45,46,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,-1,NA,-15.874372688004748,5.376485804807895e-15
economy,YouGov,The Economist,2025-05-09,2025-05-12,1786,A,42,50,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_tDmEBHo.pdf,-8,NA,-10.61227487063094,5.796678834994835e-15
immigration,YouGov,The Economist,2025-05-09,2025-05-12,1786,A,50,46,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_tDmEBHo.pdf,4,NA,1.3877251293690591,5.796678834994835e-15
healthcare,YouGov,The Economist,2025-05-09,2025-05-12,1786,A,40,46,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_tDmEBHo.pdf,-6,NA,-8.61227487063094,5.796678834994835e-15
crime,YouGov,The Economist,2025-05-09,2025-05-12,1786,A,49,40,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_tDmEBHo.pdf,9,NA,6.387725129369059,5.796678834994835e-15
inflation,YouGov,The Economist,2025-05-09,2025-05-12,1786,A,35,57,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_tDmEBHo.pdf,-22,NA,-24.61227487063094,5.796678834994835e-15
trade_tariffs,YouGov,The Economist,2025-05-09,2025-05-12,1786,A,38,53,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_tDmEBHo.pdf,-15,NA,-17.61227487063094,5.796678834994835e-15
trade_tariffs,Echelon Insights,NA,2025-05-08,2025-05-12,1000,LV,42,54,https://echelonin.wpenginepowered.com/wp-content/uploads/May-2025-Voter-Omnibus-Topline-External.pdf,-12,NA,-17.971709166994167,1.109658955946412e-14
economy,Echelon Insights,NA,2025-05-08,2025-05-12,1000,LV,44,54,https://echelonin.wpenginepowered.com/wp-content/uploads/May-2025-Voter-Omnibus-Topline-External.pdf,-10,NA,-15.971709166994167,1.109658955946412e-14
immigration,Echelon Insights,NA,2025-05-08,2025-05-12,1000,LV,53,45,https://echelonin.wpenginepowered.com/wp-content/uploads/May-2025-Voter-Omnibus-Topline-External.pdf,8,NA,2.0282908330058333,1.109658955946412e-14
foreign_policy,Echelon Insights,NA,2025-05-08,2025-05-12,1000,LV,47,50,https://echelonin.wpenginepowered.com/wp-content/uploads/May-2025-Voter-Omnibus-Topline-External.pdf,-3,NA,-8.971709166994167,1.109658955946412e-14
immigration,Ipsos,Reuters,2025-05-12,2025-05-13,1163,A,47,47,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-05/Reuters%20Ipsos%20Issues%20Survey%20May%202025_2.pdf,0,NA,1.7659510232487605,6.425639147295596e-15
economy,Ipsos,Reuters,2025-05-12,2025-05-13,1163,A,39,52,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-05/Reuters%20Ipsos%20Issues%20Survey%20May%202025_2.pdf,-13,NA,-11.23404897675124,6.425639147295596e-15
foreign_policy,Ipsos,Reuters,2025-05-12,2025-05-13,1163,A,40,48,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-05/Reuters%20Ipsos%20Issues%20Survey%20May%202025_2.pdf,-8,NA,-6.2340489767512395,6.425639147295596e-15
trade_tariffs,Ipsos,Reuters,2025-05-12,2025-05-13,1163,A,38,53,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-05/Reuters%20Ipsos%20Issues%20Survey%20May%202025_2.pdf,-15,NA,-13.23404897675124,6.425639147295596e-15
inflation,Ipsos,Reuters,2025-05-12,2025-05-13,1163,A,31,59,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-05/Reuters%20Ipsos%20Issues%20Survey%20May%202025_2.pdf,-28,NA,-26.23404897675124,6.425639147295596e-15
trade_tariffs,RMG Research,Napolitan News Service,2025-05-12,2025-05-13,1000,RV,47,48,https://napolitannews.org/posts/47-percent-now-approve-of-trump-on-tariffs,-1,NA,-9.56947401064064,8.08300881407465e-15
economy,Marquette University Law School,NA,2025-05-05,2025-05-15,1004,A,43,58,https://law.marquette.edu/poll/wp-content/uploads/2025/05/MLSPSC26Toplines_NationalIssues.html,-15,NA,-9.838555070763,2.28599227262075e-14
inflation,Marquette University Law School,NA,2025-05-05,2025-05-15,1004,A,34,65,https://law.marquette.edu/poll/wp-content/uploads/2025/05/MLSPSC26Toplines_NationalIssues.html,-31,NA,-25.838555070763,2.28599227262075e-14
immigration,Marquette University Law School,NA,2025-05-05,2025-05-15,1004,A,50,50,https://law.marquette.edu/poll/wp-content/uploads/2025/05/MLSPSC26Toplines_NationalIssues.html,0,NA,5.161444929237,2.28599227262075e-14
foreign_policy,Marquette University Law School,NA,2025-05-05,2025-05-15,1004,A,44,57,https://law.marquette.edu/poll/wp-content/uploads/2025/05/MLSPSC26Toplines_NationalIssues.html,-13,NA,-7.838555070763,2.28599227262075e-14
trade_tariffs,Marquette University Law School,NA,2025-05-05,2025-05-15,1004,A,36,63,https://law.marquette.edu/poll/wp-content/uploads/2025/05/MLSPSC26Toplines_NationalIssues.html,-27,NA,-21.838555070763,2.28599227262075e-14
immigration,Harris Insights & Analytics,Harvard CAPS,2025-05-14,2025-05-15,1903,RV,51,42,https://harvardharrispoll.com/wp-content/uploads/2025/05/HHP_May2025_KeyResults.pdf,9,NA,-0.01605351280308298,1.5931389435915127e-14
economy,Harris Insights & Analytics,Harvard CAPS,2025-05-14,2025-05-15,1903,RV,46,48,https://harvardharrispoll.com/wp-content/uploads/2025/05/HHP_May2025_KeyResults.pdf,-2,NA,-11.016053512803083,1.5931389435915127e-14
inflation,Harris Insights & Analytics,Harvard CAPS,2025-05-14,2025-05-15,1903,RV,43,50,https://harvardharrispoll.com/wp-content/uploads/2025/05/HHP_May2025_KeyResults.pdf,-7,NA,-16.016053512803083,1.5931389435915127e-14
trade_tariffs,Harris Insights & Analytics,Harvard CAPS,2025-05-14,2025-05-15,1903,RV,42,50,https://harvardharrispoll.com/wp-content/uploads/2025/05/HHP_May2025_KeyResults.pdf,-8,NA,-17.016053512803083,1.5931389435915127e-14
foreign_policy,Harris Insights & Analytics,Harvard CAPS,2025-05-14,2025-05-15,1903,RV,46,45,https://harvardharrispoll.com/wp-content/uploads/2025/05/HHP_May2025_KeyResults.pdf,1,NA,-8.016053512803083,1.5931389435915127e-14
economy,Ipsos,Reuters,2025-05-16,2025-05-18,1024,A,39,53,https://www.reuters.com/world/us/trumps-approval-rating-ticks-lower-economic-concerns-weigh-reutersipsos-poll-2025-05-20/,-14,NA,-12.23404897675124,8.849996935229544e-15
immigration,Ipsos,Reuters,2025-05-16,2025-05-18,1024,A,47,45,https://www.reuters.com/world/us/trumps-approval-rating-ticks-lower-economic-concerns-weigh-reutersipsos-poll-2025-05-20/,2,NA,3.7659510232487605,8.849996935229544e-15
foreign_policy,Ipsos,Reuters,2025-05-16,2025-05-18,1024,A,41,48,https://www.reuters.com/world/us/trumps-approval-rating-ticks-lower-economic-concerns-weigh-reutersipsos-poll-2025-05-20/,-7,NA,-5.2340489767512395,8.849996935229544e-15
inflation,Ipsos,Reuters,2025-05-16,2025-05-18,1024,A,33,58,https://www.reuters.com/world/us/trumps-approval-rating-ticks-lower-economic-concerns-weigh-reutersipsos-poll-2025-05-20/,-25,NA,-23.23404897675124,8.849996935229544e-15
economy,Global Strategy Group/GBAO (Navigator Research),NA,2025-05-15,2025-05-18,1000,RV,42,56,https://navigatorresearch.org/wp-content/uploads/2025/05/Navigator-Update-Topline-F05.19.25-1.pdf,-14,NA,-15.644360226703498,1.51736858268966e-14
economy,YouGov,The Economist,2025-05-16,2025-05-19,1710,A,41,48,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wObz24u.pdf,-7,NA,-9.61227487063094,9.834506737725318e-15
immigration,YouGov,The Economist,2025-05-16,2025-05-19,1710,A,48,45,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wObz24u.pdf,3,NA,0.3877251293690591,9.834506737725318e-15
foreign_policy,YouGov,The Economist,2025-05-16,2025-05-19,1710,A,43,47,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wObz24u.pdf,-4,NA,-6.612274870630941,9.834506737725318e-15
crime,YouGov,The Economist,2025-05-16,2025-05-19,1710,A,46,40,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wObz24u.pdf,6,NA,3.387725129369059,9.834506737725318e-15
inflation,YouGov,The Economist,2025-05-16,2025-05-19,1710,A,39,53,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wObz24u.pdf,-14,NA,-16.61227487063094,9.834506737725318e-15
trade_tariffs,YouGov,The Economist,2025-05-16,2025-05-19,1710,A,41,49,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wObz24u.pdf,-8,NA,-10.61227487063094,9.834506737725318e-15
immigration,Morning Consult,NA,2025-05-16,2025-05-19,2208,RV,53,40,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,13,NA,-1.8743726880047475,9.959802916996731e-15
economy,Morning Consult,NA,2025-05-16,2025-05-19,2208,RV,45,47,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,-2,NA,-16.874372688004748,9.959802916996731e-15
trade_tariffs,Morning Consult,NA,2025-05-16,2025-05-19,2208,RV,46,46,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,0,NA,-14.874372688004748,9.959802916996731e-15
economy,American Research Group,NA,2025-05-17,2025-05-20,1100,A,37,60,https://americanresearchgroup.com/economy/,-23,NA,-15.08028495951212,2.2876691059129608e-14
immigration,Civiqs,Daily Kos,2025-05-17,2025-05-20,1018,RV,47,52,https://civiqs.com/documents/Civiqs_DailyKos_banner_book_2025_05_x3b1sp.pdf,-5,DEM,-6.445968692682705,1.0164759829463674e-13
immigration,Morning Consult,NA,2025-05-23,2025-05-25,2208,RV,53,40,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,13,NA,-1.8743726880047475,1.5785223841402437e-14
economy,Morning Consult,NA,2025-05-23,2025-05-25,2208,RV,46,47,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,-1,NA,-15.874372688004748,1.5785223841402437e-14
trade_tariffs,Morning Consult,NA,2025-05-23,2025-05-25,2208,RV,47,45,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,2,NA,-12.874372688004748,1.5785223841402437e-14
economy,YouGov,The Economist,2025-05-23,2025-05-26,1660,A,42,51,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WokQXF7.pdf,-9,NA,-11.61227487063094,1.6773898657295147e-14
inflation,YouGov,The Economist,2025-05-23,2025-05-26,1660,A,38,56,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WokQXF7.pdf,-18,NA,-20.61227487063094,1.6773898657295147e-14
immigration,YouGov,The Economist,2025-05-23,2025-05-26,1660,A,48,48,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WokQXF7.pdf,0,NA,-2.612274870630941,1.6773898657295147e-14
immigration,AtlasIntel,NA,2025-05-21,2025-05-27,3469,A,47,53,https://atlasintel.org/poll/usa-national-2025-05-30,-6,NA,-9.606682414249313,1.3176168217879311e-13
economy,AtlasIntel,NA,2025-05-21,2025-05-27,3469,A,42,54,https://atlasintel.org/poll/usa-national-2025-05-30,-12,NA,-15.606682414249313,1.3176168217879311e-13
trade_tariffs,AtlasIntel,NA,2025-05-21,2025-05-27,3469,A,42,54,https://atlasintel.org/poll/usa-national-2025-05-30,-12,NA,-15.606682414249313,1.3176168217879311e-13
healthcare,AtlasIntel,NA,2025-05-21,2025-05-27,3469,A,38,53,https://atlasintel.org/poll/usa-national-2025-05-30,-15,NA,-18.606682414249313,1.3176168217879311e-13
immigration,RMG Research,Napolitan News Service,2025-05-28,2025-05-29,1000,RV,56,42,https://napolitannews.org/posts/voters-rate-trumps-performance-on-key-issues,14,NA,5.43052598935936,2.7788225565128124e-14
healthcare,RMG Research,Napolitan News Service,2025-05-28,2025-05-29,1000,RV,47,51,https://napolitannews.org/posts/voters-rate-trumps-performance-on-key-issues,-4,NA,-12.56947401064064,2.7788225565128124e-14
economy,RMG Research,Napolitan News Service,2025-05-28,2025-05-29,1000,RV,44,55,https://napolitannews.org/posts/voters-rate-trumps-performance-on-key-issues,-11,NA,-19.56947401064064,2.7788225565128124e-14
inflation,RMG Research,Napolitan News Service,2025-05-28,2025-05-29,1000,RV,44,54,https://napolitannews.org/posts/voters-rate-trumps-performance-on-key-issues,-10,NA,-18.56947401064064,2.7788225565128124e-14
immigration,John Zogby Strategies,NA,2025-05-28,2025-05-29,1000,LV,56,39.6,https://johnzogbystrategies.com/wp-content/uploads/2025/06/Job-Approval-052825.pdf,16.4,NA,5.94460931549542,3.437092094818666e-14
economy,John Zogby Strategies,NA,2025-05-28,2025-05-29,1000,LV,45.6,49.6,https://johnzogbystrategies.com/wp-content/uploads/2025/06/Job-Approval-052825.pdf,-4,NA,-14.455390684504579,3.437092094818666e-14
trade_tariffs,John Zogby Strategies,NA,2025-05-28,2025-05-29,1000,LV,43.7,50.9,https://johnzogbystrategies.com/wp-content/uploads/2025/06/Job-Approval-052825.pdf,-7.2,NA,-17.655390684504574,3.437092094818666e-14
economy,YouGov,The Economist,2025-05-30,2025-06-02,1610,A,42,50,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_MV984ah.pdf,-8,NA,-10.61227487063094,2.860459642120771e-14
inflation,YouGov,The Economist,2025-05-30,2025-06-02,1610,A,39,54,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_MV984ah.pdf,-15,NA,-17.61227487063094,2.860459642120771e-14
immigration,YouGov,The Economist,2025-05-30,2025-06-02,1610,A,50,43,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_MV984ah.pdf,7,NA,4.387725129369059,2.860459642120771e-14
immigration,Grayhouse,America One Policies (super PAC),2025-05-29,2025-06-02,2000,RV,52,45,https://cdn.prod.website-files.com/5d02aaade6188137a65c8441/68497a1576e3c04cb20aaf19_Reconciliation%20Polling%20Survey.pdf,7,REP,-3.4542362274715828,4.363437802158169e-14
economy,Grayhouse,America One Policies (super PAC),2025-05-29,2025-06-02,2000,RV,47,49,https://cdn.prod.website-files.com/5d02aaade6188137a65c8441/68497a1576e3c04cb20aaf19_Reconciliation%20Polling%20Survey.pdf,-2,REP,-12.454236227471583,4.363437802158169e-14
immigration,Morning Consult,NA,2025-05-30,2025-06-02,2205,RV,53,41,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,12,NA,-2.8743726880047475,2.939080396860499e-14
economy,Morning Consult,NA,2025-05-30,2025-06-02,2205,RV,47,47,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,0,NA,-14.874372688004748,2.939080396860499e-14
trade_tariffs,Morning Consult,NA,2025-05-30,2025-06-02,2205,RV,47,45,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,2,NA,-12.874372688004748,2.939080396860499e-14
foreign_policy,Morning Consult,NA,2025-05-30,2025-06-02,2205,RV,47,44,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3,NA,-11.874372688004748,2.939080396860499e-14
healthcare,Morning Consult,NA,2025-05-30,2025-06-02,2205,RV,45,45,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,0,NA,-14.874372688004748,2.939080396860499e-14
trade_tariffs,RMG Research,Napolitan News Service,2025-06-02,2025-06-03,1000,RV,48,47,https://napolitannews.org/posts/trump-approval-on-tariffs-hits-highest-level-recorded,1,NA,-7.56947401064064,4.0787537133012044e-14
economy,YouGov,CBS News,2025-06-04,2025-06-06,2428,A,42,58,https://www.cbsnews.com/news/deportation-immigration-opinion-poll/,-16,NA,-18.61227487063094,4.832960861105746e-14
inflation,YouGov,CBS News,2025-06-04,2025-06-06,2428,A,39,61,https://www.cbsnews.com/news/deportation-immigration-opinion-poll/,-22,NA,-24.61227487063094,4.832960861105746e-14
immigration,YouGov,CBS News,2025-06-04,2025-06-06,2428,A,50,50,https://www.cbsnews.com/news/deportation-immigration-opinion-poll/,0,NA,-2.612274870630941,4.832960861105746e-14
immigration,Morning Consult,NA,2025-06-06,2025-06-08,1867,RV,51,42,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,9,NA,-5.8743726880047475,4.322439741528632e-14
economy,Morning Consult,NA,2025-06-06,2025-06-08,1867,RV,45,48,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,-3,NA,-17.874372688004748,4.322439741528632e-14
trade_tariffs,Morning Consult,NA,2025-06-06,2025-06-08,1867,RV,45,46,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,-1,NA,-15.874372688004748,4.322439741528632e-14
immigration,AP-NORC,NA,2025-06-05,2025-06-09,1158,A,46,53,https://apnorc.org/wp-content/uploads/2025/06/June-Topline-Parade.pdf,-7,NA,-0.6727249620905269,2.4803015906312082e-14
trade_tariffs,AP-NORC,NA,2025-06-05,2025-06-09,1158,A,38,60,https://apnorc.org/wp-content/uploads/2025/06/June-Topline-Parade.pdf,-22,NA,-15.672724962090527,2.4803015906312082e-14
economy,AP-NORC,NA,2025-06-05,2025-06-09,1158,A,38,60,https://apnorc.org/wp-content/uploads/2025/06/June-Topline-Parade.pdf,-22,NA,-15.672724962090527,2.4803015906312082e-14
economy,YouGov,The Economist,2025-06-06,2025-06-09,1533,A,41,51,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B2kkifF.pdf,-10,NA,-12.61227487063094,4.8345940622695095e-14
inflation,YouGov,The Economist,2025-06-06,2025-06-09,1533,A,37,55,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B2kkifF.pdf,-18,NA,-20.61227487063094,4.8345940622695095e-14
immigration,YouGov,The Economist,2025-06-06,2025-06-09,1533,A,49,45,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B2kkifF.pdf,4,NA,1.3877251293690591,4.8345940622695095e-14
healthcare,YouGov,The Economist,2025-06-06,2025-06-09,1533,A,33,53,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B2kkifF.pdf,-20,NA,-22.61227487063094,4.8345940622695095e-14
economy,Global Strategy Group/GBAO (Navigator Research),NA,2025-06-05,2025-06-09,1000,RV,41,57,https://navigatorresearch.org/wp-content/uploads/2025/06/Navigator-June-1-Topline-F06.09.26.pdf?emci=a9b05989-dd46-f011-8f7c-6045bdfe8e9c&emdi=4d359ee8-7147-f011-8f7c-6045bdfe8e9c&ceid=1590570,-16,NA,-17.644360226703498,8.436551635893691e-14
immigration,Quinnipiac University,NA,2025-06-05,2025-06-09,1265,RV,43,54,https://poll.qu.edu/poll-release?releaseid=3924,-11,NA,-10.977938514712058,1.2565455332183112e-13
economy,Quinnipiac University,NA,2025-06-05,2025-06-09,1265,RV,40,56,https://poll.qu.edu/poll-release?releaseid=3924,-16,NA,-15.977938514712058,1.2565455332183112e-13
trade_tariffs,Quinnipiac University,NA,2025-06-05,2025-06-09,1265,RV,38,57,https://poll.qu.edu/poll-release?releaseid=3924,-19,NA,-18.977938514712058,1.2565455332183112e-13
immigration,SurveyMonkey,NBC News,2025-05-30,2025-06-10,19410,A,51,49,https://s3.documentcloud.org/documents/25976104/nbc-news-decision-desk-poll-june-15-2025-topline.pdf,2,NA,3.866190904114468,1.1877887873085197e-13
inflation,SurveyMonkey,NBC News,2025-05-30,2025-06-10,19410,A,39,61,https://s3.documentcloud.org/documents/25976104/nbc-news-decision-desk-poll-june-15-2025-topline.pdf,-22,NA,-20.133809095885532,1.1877887873085197e-13
trade_tariffs,SurveyMonkey,NBC News,2025-05-30,2025-06-10,19410,A,40,60,https://s3.documentcloud.org/documents/25976104/nbc-news-decision-desk-poll-june-15-2025-topline.pdf,-20,NA,-18.133809095885532,1.1877887873085197e-13
immigration,The Washington Post,NA,2025-06-10,2025-06-10,1015,A,37,52,https://www.washingtonpost.com/documents/e75c57e0-10f1-4290-b89b-f20ea6c9dc28.pdf,-15,NA,-6.834027812345262,8.75226975667653e-13
immigration,J.L. Partners,Daily Mail,2025-06-10,2025-06-11,1807,RV,46,37,https://www.dailymail.co.uk/news/article-14803593/donald-trump-poll-approval-rating-la-riots.html,9,NA,2.529422218904344,3.6738353824095155e-13
inflation,Verasight,Strength In Numbers,2025-06-06,2025-06-12,1500,A,33,62,https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up,-29,NA,-28.94286641447735,2.7595185233531485e-14
healthcare,Verasight,Strength In Numbers,2025-06-06,2025-06-12,1500,A,36,55,https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up,-19,NA,-18.94286641447735,2.7595185233531485e-14
trade_tariffs,Verasight,Strength In Numbers,2025-06-06,2025-06-12,1500,A,38,55,https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up,-17,NA,-16.94286641447735,2.7595185233531485e-14
foreign_policy,Verasight,Strength In Numbers,2025-06-06,2025-06-12,1500,A,39,53,https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up,-14,NA,-13.94286641447735,2.7595185233531485e-14
economy,Verasight,Strength In Numbers,2025-06-06,2025-06-12,1500,A,41,53,https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up,-12,NA,-11.94286641447735,2.7595185233531485e-14
immigration,Verasight,Strength In Numbers,2025-06-06,2025-06-12,1500,A,46,49,https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up,-3,NA,-2.9428664144773506,2.7595185233531485e-14
foreign_policy,Harris Insights & Analytics,Harvard CAPS,2025-06-11,2025-06-12,2097,RV,45,55,https://harvardharrispoll.com/wp-content/uploads/2025/06/HHP_June2025_KeyResults.pdf,-10,NA,-19.016053512803083,1.5043993977694467e-13
economy,Harris Insights & Analytics,Harvard CAPS,2025-06-11,2025-06-12,2097,RV,44,56,https://harvardharrispoll.com/wp-content/uploads/2025/06/HHP_June2025_KeyResults.pdf,-12,NA,-21.016053512803083,1.5043993977694467e-13
immigration,Harris Insights & Analytics,Harvard CAPS,2025-06-11,2025-06-12,2097,RV,49,51,https://harvardharrispoll.com/wp-content/uploads/2025/06/HHP_June2025_KeyResults.pdf,-2,NA,-11.016053512803083,1.5043993977694467e-13
inflation,Harris Insights & Analytics,Harvard CAPS,2025-06-11,2025-06-12,2097,RV,42,58,https://harvardharrispoll.com/wp-content/uploads/2025/06/HHP_June2025_KeyResults.pdf,-16,NA,-25.016053512803083,1.5043993977694467e-13
trade_tariffs,Harris Insights & Analytics,Harvard CAPS,2025-06-11,2025-06-12,2097,RV,41,52,https://harvardharrispoll.com/wp-content/uploads/2025/06/HHP_June2025_KeyResults.pdf,-11,NA,-20.016053512803083,1.5043993977694467e-13
inflation,Clarity Campaign Labs,NA,2025-06-05,2025-06-14,1000,RV,36,60,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6852fc5a3ac4c05449fc450e/1750269023826/Clarity+Omnibus+Overview+-+June+2025+%5BPUBLIC%5D.pdf,-24,NA,-29.787009369776683,1.5697729335784337e-13
economy,Clarity Campaign Labs,NA,2025-06-05,2025-06-14,1000,RV,46,49,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6852fc5a3ac4c05449fc450e/1750269023826/Clarity+Omnibus+Overview+-+June+2025+%5BPUBLIC%5D.pdf,-3,NA,-8.787009369776683,1.5697729335784337e-13
immigration,Clarity Campaign Labs,NA,2025-06-05,2025-06-14,1000,RV,50,47,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6852fc5a3ac4c05449fc450e/1750269023826/Clarity+Omnibus+Overview+-+June+2025+%5BPUBLIC%5D.pdf,3,NA,-2.7870093697766833,1.5697729335784337e-13
healthcare,Clarity Campaign Labs,NA,2025-06-05,2025-06-14,1000,RV,40,52,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6852fc5a3ac4c05449fc450e/1750269023826/Clarity+Omnibus+Overview+-+June+2025+%5BPUBLIC%5D.pdf,-12,NA,-17.787009369776683,1.5697729335784337e-13
immigration,Morning Consult,NA,2025-06-13,2025-06-15,2207,RV,51,44,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,7,NA,-7.8743726880047475,8.111539689879141e-14
economy,Morning Consult,NA,2025-06-13,2025-06-15,2207,RV,47,48,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,-1,NA,-15.874372688004748,8.111539689879141e-14
trade_tariffs,Morning Consult,NA,2025-06-13,2025-06-15,2207,RV,45,46,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,-1,NA,-15.874372688004748,8.111539689879141e-14
economy,Ipsos,Reuters,2025-06-11,2025-06-16,4258,A,39,52,https://www.reuters.com/world/us/trump-approval-steady-42-support-weakens-his-immigration-policy-reutersipsos-2025-06-16/,-13,NA,-11.23404897675124,1.7421485720615387e-13
immigration,Ipsos,Reuters,2025-06-11,2025-06-16,4258,A,44,49,https://www.reuters.com/world/us/trump-approval-steady-42-support-weakens-his-immigration-policy-reutersipsos-2025-06-16/,-5,NA,-3.2340489767512395,1.7421485720615387e-13
economy,YouGov,The Economist,2025-06-13,2025-06-16,1512,A,41,53,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CyorzxR.pdf,-12,NA,-14.61227487063094,8.267278777911619e-14
inflation,YouGov,The Economist,2025-06-13,2025-06-16,1512,A,35,58,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CyorzxR.pdf,-23,NA,-25.61227487063094,8.267278777911619e-14
immigration,YouGov,The Economist,2025-06-13,2025-06-16,1512,A,44,52,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CyorzxR.pdf,-8,NA,-10.61227487063094,8.267278777911619e-14
crime,YouGov,The Economist,2025-06-13,2025-06-16,1512,A,44,45,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CyorzxR.pdf,-1,NA,-3.612274870630941,8.267278777911619e-14
iran,YouGov,The Economist,2025-06-13,2025-06-16,1512,A,37,41,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CyorzxR.pdf,-4,NA,-6.612274870630941,8.267278777911619e-14
immigration,Beacon Research/Shaw & Co. Research,FOX News,2025-06-13,2025-06-16,1003,RV,46,53,https://static.foxnews.com/foxnews.com/content/uploads/2025/06/fox_june-13-16-2025_national_topline_june-18-release.pdf,-7,NA,-5.529656604297095,2.0507386348815313e-13
foreign_policy,Beacon Research/Shaw & Co. Research,FOX News,2025-06-13,2025-06-16,1003,RV,42,57,https://static.foxnews.com/foxnews.com/content/uploads/2025/06/fox_june-13-16-2025_national_topline_june-18-release.pdf,-15,NA,-13.529656604297095,2.0507386348815313e-13
economy,Beacon Research/Shaw & Co. Research,FOX News,2025-06-13,2025-06-16,1003,RV,40,58,https://static.foxnews.com/foxnews.com/content/uploads/2025/06/fox_june-13-16-2025_national_topline_june-18-release.pdf,-18,NA,-16.529656604297095,2.0507386348815313e-13
